ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Position,Speaker,original_data
hau_conversation_1980_01-1,HAU,"Àa, Àbdùrràhman?",,,"Umm, Abdurrahman?",,,,,Tijjani :,"{""Entry"": ""1"", ""Speaker"": ""Tijjani :"", ""Hausa"": ""A\u0300a, A\u0300bdu\u0300rra\u0300hman?"", ""English"": ""Umm, Abdurrahman?""}"
hau_conversation_1980_01-2,HAU,"Yàayàa dai, Malàm Tìjjaani?",,,"How's it going, Mr. Tijjani?",,,,,Abdurrahman :,"{""Entry"": ""2"", ""Speaker"": ""Abdurrahman :"", ""Hausa"": ""Ya\u0300aya\u0300a dai, Mala\u0300m Ti\u0300jjaani?"", ""English"": ""How's it going, Mr. Tijjani?""}"
hau_conversation_1980_01-3,HAU,"Yàayàa dai, yàayàa gàrii?",,,"How's it going, how's life in the city?",,,,,T :,"{""Entry"": ""3"", ""Speaker"": ""T :"", ""Hausa"": ""Ya\u0300aya\u0300a dai, ya\u0300aya\u0300a ga\u0300rii?"", ""English"": ""How's it going, how's life in the city?""}"
hau_conversation_1980_01-4,HAU,Wàllaahì laafiyàa ƙalau.,,,Just fine.,,,,,A :,"{""Entry"": ""4"", ""Speaker"": ""A :"", ""Hausa"": ""Wa\u0300llaahi\u0300 laafiya\u0300a \u0199alau."", ""English"": ""Just fine.""}"
hau_conversation_1980_01-5,HAU,Yàayàa ìyaalìi?,,,How's the family?,,,,,T :,"{""Entry"": ""5"", ""Speaker"": ""T :"", ""Hausa"": ""Ya\u0300aya\u0300a i\u0300yaali\u0300i?"", ""English"": ""How's the family?""}"
hau_conversation_1980_01-6,HAU,Yàayàa harkookii?,,,How are affairs in general?,,,,,A :,"{""Entry"": ""6"", ""Speaker"": ""A :"", ""Hausa"": ""Ya\u0300aya\u0300a harkookii?"", ""English"": ""How are affairs in general?""}"
hau_conversation_1980_01-7,HAU,"Ƙalau, wàllaahì.",,,"Just fine, by God.",,,,,T :,"{""Entry"": ""7"", ""Speaker"": ""T :"", ""Hausa"": ""\u0198alau, wa\u0300llaahi\u0300."", ""English"": ""Just fine, by God.""}"
hau_conversation_1980_01-8,HAU,Yàayàa Hajìyaa?,,,How is your wife Hajiya?,,,,,A :,"{""Entry"": ""8"", ""Speaker"": ""A :"", ""Hausa"": ""Ya\u0300aya\u0300a Haji\u0300yaa?"", ""English"": ""How is your wife Hajiya?""}"
hau_conversation_1980_01-9,HAU,Tanàa nan laafiyàa ƙalau.,,,She's just fine.,,,,,T :,"{""Entry"": ""9"", ""Speaker"": ""T :"", ""Hausa"": ""Tana\u0300a nan laafiya\u0300a \u0199alau."", ""English"": ""She's just fine.""}"
hau_conversation_1980_01-10,HAU,Naa ji taa zoo.  Yàushè nee ta zoo nèe?,,,I heard she'd arrived.  When is it she arrived?,,,,,A :,"{""Entry"": ""10"", ""Speaker"": ""A :"", ""Hausa"": ""Naa ji taa zoo.  Ya\u0300ushe\u0300 nee ta zoo ne\u0300e?"", ""English"": ""I heard she'd arrived.  When is it she arrived?""}"
hau_conversation_1980_01-11,HAU,Yâu dai wurin saatintà biyu kèenan.,,,About two weeks ago.,,,,,T :,"{""Entry"": ""11"", ""Speaker"": ""T :"", ""Hausa"": ""Ya\u0302u dai wurin saatinta\u0300 biyu ke\u0300enan."", ""English"": ""About two weeks ago.""}"
hau_conversation_1980_01-12,HAU,Habàǃ,,,Really?,,,,,A :,"{""Entry"": ""12"", ""Speaker"": ""A :"", ""Hausa"": ""Haba\u0300\u01c3"", ""English"": ""Really?""}"
hau_conversation_1980_01-13,HAU,Wàllaahì kùwaǃ,,,Yes.,,,,,T :,"{""Entry"": ""13"", ""Speaker"": ""T :"", ""Hausa"": ""Wa\u0300llaahi\u0300 ku\u0300wa\u01c3"", ""English"": ""Yes.""}"
hau_conversation_1980_01-14,HAU,Àmmaa bà kà kyâutaa ba wàllaahìǃ,,,But that's not fair!,,,,,A :,"{""Entry"": ""14"", ""Speaker"": ""A :"", ""Hausa"": ""A\u0300mmaa ba\u0300 ka\u0300 kya\u0302utaa ba wa\u0300llaahi\u0300\u01c3"", ""English"": ""But that's not fair!""}"
hau_conversation_1980_01-15,HAU,"Ai kaa san àbîn dà ya sâa…aikìi nee naa gayàa makà, wàatàu…",,,"Well you know what happened… it's work I told you, that is…",,,,,T :,"{""Entry"": ""15"", ""Speaker"": ""T :"", ""Hausa"": ""Ai kaa san a\u0300bi\u0302n da\u0300 ya sa\u0302a\u2026aiki\u0300i nee naa gaya\u0300a maka\u0300, wa\u0300ata\u0300u\u2026"", ""English"": ""Well you know what happened\u2026 it's work I told you, that is\u2026""}"
hau_conversation_1980_01-16,HAU,Ammaa bà kà tàmbàyee nì ba mèe ya sâa na cèe bà kà kyâutaa ba.,,,But you haven't asked me why I said that wasn't fair.,,,,,A :,"{""Entry"": ""16"", ""Speaker"": ""A :"", ""Hausa"": ""Ammaa ba\u0300 ka\u0300 ta\u0300mba\u0300yee ni\u0300 ba me\u0300e ya sa\u0302a na ce\u0300e ba\u0300 ka\u0300 kya\u0302utaa ba."", ""English"": ""But you haven't asked me why I said that wasn't fair.""}"
hau_conversation_1980_01-17,HAU,Ai inàa tàmman koo zaa kà cêe koo dà bàn faɗàa makà ba.,,,I think you'll say that I didn't tell you.,,,,,T :,"{""Entry"": ""17"", ""Speaker"": ""T :"", ""Hausa"": ""Ai ina\u0300a ta\u0300mman koo zaa ka\u0300 ce\u0302e koo da\u0300 ba\u0300n fa\u0257a\u0300a maka\u0300 ba."", ""English"": ""I think you'll say that I didn't tell you.""}"
hau_conversation_1980_01-18,HAU,Ai shii nèe kuma bà kà kaawoo tà gidaanaa ba.,,,"Well that's it, you didn't bring her to my home.",,,,,A :,"{""Entry"": ""18"", ""Speaker"": ""A :"", ""Hausa"": ""Ai shii ne\u0300e kuma ba\u0300 ka\u0300 kaawoo ta\u0300 gidaanaa ba."", ""English"": ""Well that's it, you didn't bring her to my home.""}"
