ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Name
EMA,Emai-luleha-Ora,Africa,7.09089,5.84494,emai1241,ema,Atlantic-Congo
ENG,English,Eurasia,53.0,-1.0,stan1293,eng,Indo-European
ISO,Isoko,Africa,5.52889,6.24682,isok1239,iso,Atlantic-Congo
NDO,Ndonga,Africa,-17.22,17.35,ndon1254,ndo,Atlantic-Congo
ARZ,"Arabic, Egyptian",Africa,31.0,31.0,egyp1253,arz,Afro-Asiatic
ALE_EASTERN,Aleut (Eastern dialect),North America,52.1228,-174.29,east2533,,Eskimo-Aleut
HAU,Hausa,Africa,11.1513,8.7804,haus1257,hau,Afro-Asiatic
KLU,Klao,Africa,5.05,-8.85,klao1243,klu,Kru
WBM,Wa,Eurasia,23.1024,99.108,nucl1290,wbm,Austroasiatic
BWR,Bura,Africa,10.4822,12.3007,bura1292,bwr,Afro-Asiatic
MRT,Marghi (Central),Africa,10.93854,13.0521,marg1265,mrt,Afro-Asiatic
SND,Sindhi,Eurasia,26.0,69.0,sind1272,snd,Indo-European
CRO,Crow,North America,45.368,-107.874,crow1244,cro,Siouan
NAV,Navajo,North America,36.33,-109.38,nava1243,nav,Athabaskan-Eyak-Tlingit
URH,Urhobo,Africa,5.31155,5.86148,urho1239,urh,Atlantic-Congo
OGO,Khana,Africa,4.70908,7.44363,khan1278,ogo,Atlantic-Congo
HNI,Hani,Eurasia,22.67753,102.851673333,hani1248,hni,Sino-Tibetan
HUC,ǂHua,Africa,-23.93447,24.69828,hoaa1235,huc,Kxa
HEB,Hebrew,Eurasia,31.1056,35.0179,hebr1245,heb,Afro-Asiatic
GAX,Oromo,Africa,1.05676,37.882,bora1271,gax,Afro-Asiatic
MPZ,Mpi,Eurasia,18.1717,100.21,mpii1239,mpz,Sino-Tibetan
TON,Tongan,Papunesia,-21.17,-175.25,tong1325,ton,Austronesian
FFM,Fulfulde (Maasina),Africa,11.1324,-3.64763,maas1239,ffm,Atlantic-Congo
QUH,"Quechua, South Bolivian",South America,-20.9201,-66.3331,sout2991,quh,Quechuan
TGL,Tagalog,Papunesia,14.06,121.747,taga1270,tgl,Austronesian
NZI,Nzema,Africa,5.1785,-2.81123,nzim1238,nzi,Atlantic-Congo
JAV,Javanese,Papunesia,-7.001,109.287,java1254,jav,Austronesian
SHK,Shilluk,Africa,9.85472,31.7926,shil1265,shk,Nilotic
MLT,Maltese,Eurasia,35.8884,14.4508,malt1254,mlt,Afro-Asiatic
IBO,Igbo,Africa,4.62705,7.23441,nucl1417,ibo,Atlantic-Congo
DYO,Jola-Fonyi,Africa,12.75752,-15.7354766667,jola1263,dyo,Atlantic-Congo
GUJ,Gujarati,Eurasia,22.687,71.0962,guja1252,guj,Indo-European
SAD,Sandawe,Africa,-5.26918,35.4808,sand1273,sad,Isolate
LUG,Ganda,Africa,0.66884,32.15153,gand1255,lug,Atlantic-Congo
MED,Melpa,Papunesia,-5.62644,144.34,melp1238,med,Nuclear Trans New Guinea
