ID,Name,Description,ColumnSpec
1,1,,
100,100,,
10000,"10,000",,
12time,1/2 (time),,
13,1/3,,
1sgplusconditionalprefix,1 sg plus conditional prefix,,
1stpersonsing,1st person sing.,,
1stperssg,1st pers. sg.,,
2,2,,
20kopecks,20 kopecks,,
22,22,,
2ndhandpieceoffurniture,2nd hand piece of furniture,,
2persons,2 (persons),,
2pockets,2 pockets,,
3,3,,
3itemsclass10p,3 items - class 10p,,
3itemsclass6p,3 items - class 6p,,
3prongedfishingspear,3-pronged fishing spear,,
3rdpersonpro,3rd person pro.,,
3rdpersonpronoun,3rd person pronoun,,
3rdpersonsing,3rd person sing.,,
3times,3 times,,
4,4,,
5,5,,
5centavos,5 centavos,,
5chairs,5 chairs,,
5verses,5 verses,,
6,6,,
7,7,,
8,8,,
9,9,,
NA, | (?) | -' | ? | ʔɔː | ʔɔ̀ː | ʔɛ̀ː | ʔɤ | ʔɤː | ʔɤ̀ː | ʔɯə | ʔɯ̀ | ʔɯ̀ə | ʔɯ̀ː,,
a,ʔaə | ʔaː,,
a3dbit,a 3d bit,,
aardvark,aardvark,,
aartmasc,a (art. masc.),,
abaatown,"Aba, a town",,
ababoon,a baboon,,
aback,a back,,
abadperson,a bad person,,
abag,a bag,,
abaleofcloth,a bale of cloth,,
aball,a ball,,
abandon,abandon,,
abandonahabit,abandon a habit,,
abandoningahabit,abandoning a habit,,
abankdative,a bank (dative),,
abasin,a basin,,
abasket,a basket,,
abat,a bat,,
abate,abate,,
abaza,Abaza,,
abbreviate,abbreviate,,
abdillahname,Abdillah (name),,
abdomen,abdomen,,
abear,a bear,,
abeautifulthing,a beautiful thing,,
abell,a bell,,
abelllikeadornment,a bell-like adornment,,
abelt,a belt,,
abench,a bench,,
abend,a bend,,
aberry,a berry,,
aberryorcherrylikefruit,a berry or cherry-like fruit,,
abeverage,a beverage,,
abigfroglivinginthewater,a big frog living in the water,,
abigpot,a big pot,,
abigtree,a big tree,,
ability,ability,,
abilitytobeeloquent,ability to be eloquent,,
abill,a bill,,
abird,a bird,,
abite,a bite,,
ablackperson,a black person,,
ablacksmithing,a blacksmithing,,
ablame,a blame,,
ablanket,a blanket,,
ablanketrug,"a blanket, rug",,
ablanketshawl,"a blanket, shawl",,
able,- able | able,,
abletoresumeashapeasofgum,able to resume a shape (as of gum),,
ablindpersoninanegativesense,a blind person (in a negative sense),,
